,0
 bird,1
 giant,1
 tiger,2
 tiger,2
 children,2
 children,2
 babies,2
 tiger,3
 tiger,3
 small,3
 baby,3
 coffee,3
 food,4
 food,4
 such,4
 large,4
 head,5
 young,6
 young,6
 people,6
 people,6
 coffee,6
 coffee,6
 young,7
 coffee,7
 coffee,7
 coffee,7
 coffee,7
 young,9
 people,9
 coffee,9
 time,9
 time,9
 dog,11
 types,12
 vegetable,12
 time,13
 baby,14
 side,15
 giant,15
 use,15
 mouse,15
 head,16
 yes,16
 children,20
 dog,21
 yogurt,21
 coffee,21
 dog,22
 medicine,22
 dog,23
 head,23
 small,23
 lab,23
 lab,23
 lab,23
 people,23
 coffee,23
 coffee,23
 coffee,23
 side,24
 head,25
 being,26
 dog,27
 being,28
 mad,29
 big,30
 big,31
 fire,31
 couple,32
 face,33
 light,34
 face,34
 baby,34
 beach,34
 giant,35
 big,35
 eating,35
 face,36
 children,36
 time,36
 side,37
 large,37
 people,37
 female,38
 eating,38
 time,38
 female,39
 dog,40
 found,40
 eating,40
 female,41
 such,41
 fat,41
 space,41
 game,42
 found,42
 being,43
 side,44
 eating,44
 food,45
 food,45
 people,45
 people,45
 life,46
 children,46
 children,46
 side,48
 use,49
 people,49
 music,50
 life,51
 parents,51
 life,52
 life,52
 particular,53
 being,54
 giant,55
 side,56
 time,56
 found,58
 music,59
 music,59
 time,59
 coffee,62
 books,62
 birds,63
 face,63
 eating,63
 birds,63
 face,65
 female,65
 time,65
 life,66
 baby,66
 blood,67
 tiger,68
 children,69
 life,70
 head,70
 being,70
 books,70
 giant,71
 big,71
 such,71
 study,71
 children,71
 time,71
 time,71
 coffee,72
 young,73
 people,73
 people,73
 coffee,73
 yogurt,74
 couple,74
 eating,75
 eating,75
 food,75
 people,75
 head,76
 children,76
 head,77
 children,77
 bird,78
 game,78
 game,78
 game,78
 sitter,79
 giant,79
 tiger,80
 face,80
 face,80
 large,80
 coffee,81
 coffee,81
 time,81
 being,82
 coffee,82
 eating,83
 young,84
 people,84
 people,86
 time,86
 face,87
 life,88
 eating,88
 human,89
 being,89
 parents,89
 used,90
 people,90
 coffee,90
 found,92
 found,92
 small,92
 being,93
 parents,93
 mad,95
 small,95
 side,96
 eating,97
 blood,98
 protect,98
 time,99
 body,100
 being,100
 such,100
 time,101
 being,103
 being,103
 couple,103
 tiger,104
 mad,104
 giant,106
 found,107
 life,108
 life,108
 life,108
 being,108
 parents,108
 life,110
 use,110
 life,111
 time,111
 game,112
 side,113
 being,113
 music,113
