,0
 before,1
 jeans,1
 wearing,1
 down,1
 vaccinate,2
 wearing,2
 wearing,2
 wearing,3
 good,3
 skirt,4
 american,4
 good,5
 play,6
 good,6
 office,6
 office,6
 market,8
 fit,9
 office,9
 office,10
 down,11
 kitchen,11
 down,12
 kitchen,12
 turn,14
 before,15
 law,15
 play,15
 good,15
 office,15
 down,18
 down,18
 developing,18
 before,19
 before,19
 good,19
 wearing,21
 kitchen,21
 kitchen,21
 good,22
 coat,23
 coat,23
 down,23
 down,23
 coat,23
 coat,23
 field,24
 wearing,25
 field,25
 before,26
 turn,28
 felt,28
 down,29
 store,29
 clean,29
 play,32
 good,32
 turn,33
 down,33
 market,33
 turn,34
 wet,34
 machine,34
 sweatshirt,35
 wearing,35
 wearing,35
 kitchen,35
 kitchen,35
 cover,36
 wind,36
 felt,38
 office,38
 dress,39
 shirt,39
 dress,39
 shirt,39
 play,39
 paper,39
 ironing,39
 down,39
 shirt,39
 labor,39
 outfit,41
 wearing,41
 turn,43
 fit,43
 good,44
 store,45
 good,46
 afford,48
 felt,50
 wearing,50
 down,51
 good,51
 field,52
 field,52
 dress,54
 dress,54
 dress,54
 dress,54
 closet,54
 closet,54
 closet,54
 closet,54
 shirt,55
 gown,55
 shirt,55
 wearing,55
 shirt,55
 fashion,56
 felt,56
 down,56
 down,56
 fashion,56
 fashion,56
 wear,58
 turn,58
 suit,58
 suit,58
 suit,58
 suit,58
 shirt,59
 shirt,59
 wearing,59
 down,59
 shirt,59
 down,60
 down,61
 felt,62
 photo,63
 down,63
 shooing,64
 athletic,65
 wearing,66
 office,66
 turn,67
 turn,68
 campaign,69
 campaign,69
 good,70
 kitchen,72
 play,73
 play,74
 good,74
 cover,75
 campaign,75
 down,76
 national,76
 down,77
 national,77
 turn,78
 turn,79
 down,79
 down,80
 down,80
 down,80
 down,80
 good,81
 good,81
 play,82
 down,82
 kitchen,83
 kitchen,83
 down,84
 kitchen,84
 down,85
 down,85
 office,86
 good,87
 wear,88
 closet,88
 clothes,88
 closet,88
 good,88
 clothes,88
 clothes,88
 human,89
 office,89
 office,89
 used,90
 office,90
 dress,91
 dress,91
 good,91
 office,92
 office,92
 turn,93
 good,93
 athletic,93
 down,95
 down,95
 down,95
 before,96
 field,96
 down,98
 down,99
 down,99
 down,99
 down,99
 turn,100
 down,105
 down,106
 good,108
 wearing,110
 kitchen,110
 kitchen,110
 before,111
 good,112
 play,113
